Date,Verses
7/1/2021,John 1
7/2/2021,John 2
7/3/2021,John 3
7/4/2021,John 4
7/5/2021,John 5
7/6/2021,John 6
7/7/2021,John 7
7/8/2021,John 8
7/9/2021,John 9
7/10/2021,John 10
7/11/2021,John 11
7/12/2021,John 12
7/13/2021,John 13
7/14/2021,John 14
7/15/2021,John 15
7/16/2021,John 16
7/17/2021,John 17
7/18/2021,John 18
7/19/2021,John 19
7/20/2021,John 20
7/21/2021,John 21
7/22/2021,1 John 1
7/23/2021,1 John 2
7/24/2021,1 John 3
7/25/2021,1 John 4
7/26/2021,1 John 5
7/27/2021,2 John
7/28/2021,3 John
7/29/2021,Jude
7/30/2021,Revelation 1
7/31/2021,Revelation 2
